GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reimbursement-portal,com.reimbursement.reimbursementportal.mapper,UserMapper,5,56,1,5,2,15,2,4,1,2
reimbursement-portal,com.reimbursement.reimbursementportal.mapper,ClaimMapper,38,67,6,6,9,13,8,1,2,1
reimbursement-portal,com.reimbursement.reimbursementportal.enums,ClaimStatus,0,21,0,0,0,4,0,1,0,1
reimbursement-portal,com.reimbursement.reimbursementportal.enums,Role,0,21,0,0,0,4,0,1,0,1
reimbursement-portal,com.reimbursement.reimbursementportal.controller,ClaimController,60,137,0,0,20,41,2,5,2,5
reimbursement-portal,com.reimbursement.reimbursementportal.controller,UserController,30,136,1,1,10,46,2,6,1,6
reimbursement-portal,com.reimbursement.reimbursementportal.controller,AuthController,5,77,0,2,0,24,1,4,1,3
reimbursement-portal,com.reimbursement.reimbursementportal.service.serviceImpl,ClaimServiceImpl,95,424,15,31,22,91,19,18,4,10
reimbursement-portal,com.reimbursement.reimbursementportal.service.serviceImpl,UserServiceImpl,110,351,10,16,22,81,16,15,6,12
reimbursement-portal,com.reimbursement.reimbursementportal.config,CustomUserDetailsService,0,46,0,0,0,11,0,3,0,3
reimbursement-portal,com.reimbursement.reimbursementportal.config,SecurityEventListener,0,21,0,0,0,6,0,4,0,4
reimbursement-portal,com.reimbursement.reimbursementportal.config,RequestLoggingFilter,0,72,0,0,0,12,0,3,0,3
reimbursement-portal,com.reimbursement.reimbursementportal.config,SecurityConfig,15,128,2,0,4,25,2,11,1,11
reimbursement-portal,com.reimbursement.reimbursementportal.config,PasswordMigrationRunner,17,31,3,5,4,8,3,3,0,2
reimbursement-portal,com.reimbursement.reimbursementportal.config,PasswordConfig,0,7,0,0,0,2,0,2,0,2
reimbursement-portal,com.reimbursement.reimbursementportal.config,CorsConfig,0,33,0,0,0,9,0,2,0,2
reimbursement-portal,com.reimbursement.reimbursementportal.util,ValidationUtil,5,8,1,1,1,2,2,1,1,1
reimbursement-portal,com.reimbursement.reimbursementportal.entity,Claim,0,22,1,3,0,6,1,5,0,4
reimbursement-portal,com.reimbursement.reimbursementportal.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
reimbursement-portal,com.reimbursement.reimbursementportal.exception,GlobalExceptionHandler,36,180,0,0,14,68,2,11,2,11
reimbursement-portal,com.reimbursement.reimbursementportal.exception,ValidationException,0,4,0,0,0,2,0,1,0,1
reimbursement-portal,com.reimbursement.reimbursementportal.exception,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
reimbursement-portal,com.reimbursement.reimbursementportal.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
reimbursement-portal,com.reimbursement.reimbursementportal.exception,ClaimNotFoundException,0,4,0,0,0,2,0,1,0,1
reimbursement-portal,com.reimbursement.reimbursementportal,ReimbursementPortalApplication,5,3,0,0,2,1,1,1,1,1
